"gseid","ngsm","restoration.grn","biotin.stain.red","biotin.stain.grn","specificityI.red","specificityI.grn","specificityII","extension.red","extension.grn","hyb.hi.med","hyb.med.low","target.removal.1","target.removal.2","bisulfite.conv.I.red","bisulfite.conv.I.grn","bisulfite.conv.II","nonpolymorphic.red","nonpolymorphic.grn","meth_<_10","unmeth_<_10","meth_<_11","unmeth_<_11","meth_<_12","unmeth_<_12","qc.stf.filt","ba.stf.filt"
"GSE71328",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.45,0.2,0.05,1,1,1,1,"above","below"
"GSE94785",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.26,0.02,"below","below"
"GSE67170",89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.06,"below","below"
"GSE93208",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,"below","below"
"GSE104087",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.07,"below","below"
"GSE85571",38,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.08,1,"below","below"
"GSE109042",53,0,0.21,0.02,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.28,0.09,0.15,0.09,0.51,0.34,1,0.98,"below","below"
"GSE119684",44,0,0.05,0,0.05,0.05,0.05,0.07,0,0,0,0,0,0.05,0.07,0.09,0.07,0.43,0.07,0.07,0.07,0.09,0.23,0.73,"below","below"
"GSE87053",21,0,0.19,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.67,0.1,0,0.62,0.19,1,1,"below","above"
"GSE63409",74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0.64,0.64,"below","below"
"GSE55491",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,1,"below","below"
"GSE65467",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"below","below"
"GSE106360",47,0,0.13,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.98,"below","below"
"GSE81015",12,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.08,0,0.17,0.17,0.67,0.92,1,1,1,1,"above","below"
"GSE112812;GSE112877",48,0,0.06,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,"below","below"
"GSE128068;GSE128064",112,0,0.21,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0.01,0.01,0.81,0.86,"below","below"
"GSE72354",34,0,0.29,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,"below","below"
"GSE68060",117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.03,0.23,0.36,"below","below"
"GSE117439",52,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.08,0.19,0.31,0.04,0.15,0,0.81,0.35,1,1,"below","below"
"GSE103659",180,0,0.08,0.17,0,0,0,0,0,0.06,0.08,0,0,0.01,0,0.01,0.02,0.05,0,0,0.02,0,0.53,0.14,"below","below"
"GSE89181",70,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0.03,0.04,0.19,0.03,0.06,0,0.01,0.03,0.14,0.49,0.76,"below","below"
"GSE79009",124,0,0.01,0,0.01,0.01,0.01,0,0,0,0,0,0,0.41,0.34,0.39,0.02,0.05,0.01,0.01,0.02,0.02,0.23,0.19,"below","below"
"GSE87640;GSE87650",238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.06,0,0.99,0.99,"below","below"
"GSE68838",301,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.02,0.04,0,0,0.01,0.02,0.39,0.79,"below","below"
"GSE79556",83,0,0,0.01,0.01,0.02,0,0,0,0,0,0,0,0.07,0.19,0.06,0.19,0.25,0.2,0.06,0.95,0.53,1,1,"below","below"
"GSE112067",6,0,0,0,0.33,0,0,0,0,0,1,0,0,0.17,0.17,0.17,0.17,0.33,0.33,0.33,1,0.83,1,1,"above","above"
"GSE67444",70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.06,0,0.3,0.01,0.06,0.16,0.17,0.73,0.96,"below","below"
"GSE100197",101,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0.01,0,0.62,0.1,"below","below"
"GSE85467;GSE85464",38,0,0.03,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.13,1,1,"below","below"
"GSE89778;GSE89776",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.79,1,"below","below"
"GSE66459",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1,"below","below"
"GSE107459;GSE107460",126,0,0.02,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.36,0,0,0.02,0,0.86,0.98,"below","below"
"GSE66313",54,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0.22,0.07,0.09,0.07,0.41,0.24,0,0.87,0.15,1,0.57,"below","below"
"GSE118570",42,0,0.02,0.21,0,0,0,0,0,0,0,0,0,0.05,0.07,0.1,0.1,0.07,0.02,0.02,0.1,0.1,0.79,1,"below","below"
"GSE83842",23,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.91,0.96,1,"below","below"
"GSE99624",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.35,0.9,"below","below"
"GSE79366",14,0,0.14,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.29,1,1,"below","below"
"GSE64096",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,1,0.1,"below","below"
"GSE99553",83,0,0.22,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,"below","below"
