"tissue","gsmid"
"blood","GSM2656390"
"blood","GSM3440328"
"blood","GSM2562923"
"blood","GSM2815248"
"blood","GSM2363775"
"blood","GSM2337514"
"blood","GSM2334591"
"blood","GSM2738183"
"blood","GSM3440633"
"blood","GSM2648839"
"blood","GSM2656395"
"blood","GSM2337402"
"blood","GSM2738207"
"blood","GSM2867880"
"blood","GSM2089986"
"blood","GSM3440739"
"blood","GSM2814440"
"blood","GSM2865170"
"blood","GSM2814507"
"blood","GSM2562917"
"blood","GSM2363891"
"blood","GSM2586404"
"blood","GSM2334161"
"blood","GSM3026662"
"blood","GSM2815321"
"blood","GSM2815251"
"blood","GSM2363777"
"blood","GSM2814485"
"blood","GSM1649744"
"blood","GSM3440639"
"blood","GSM2562896"
"blood","GSM2337413"
"blood","GSM3440419"
"blood","GSM2337372"
"blood","GSM2465190"
"blood","GSM2334029"
"blood","GSM2814099"
"blood","GSM2796263"
"blood","GSM2363550"
"blood","GSM1848080"
"blood","GSM2815055"
"blood","GSM3035542"
"blood","GSM2562866"
"blood","GSM2363556"
"blood","GSM3035603"
"blood","GSM2648869"
"blood","GSM2337423"
"blood","GSM2562880"
"blood","GSM2089944"
"blood","GSM2089969"
"blood","GSM1920417"
"blood","GSM2363666"
"blood","GSM2363752"
"blood","GSM2333903"
"blood","GSM3026754"
"blood","GSM2942844"
"blood","GSM3035799"
"blood","GSM3035831"
"blood","GSM1425472"
"blood","GSM2363853"
"blood","GSM3035810"
"blood","GSM2127921"
"blood","GSM2815423"
"blood","GSM2814793"
"blood","GSM2814855"
"blood","GSM2814136"
"blood","GSM2183267"
"blood","GSM2770889"
"blood","GSM2814654"
"blood","GSM1920355"
"blood","GSM2268002"
"blood","GSM3035929"
"blood","GSM2337269"
"blood","GSM2334584"
"blood","GSM2656381"
"blood","GSM2337310"
"blood","GSM2334124"
"blood","GSM2815380"
"blood","GSM2814147"
"blood","GSM2770893"
"blood","GSM2337338"
"blood","GSM2337615"
"blood","GSM2815515"
"blood","GSM2815050"
"blood","GSM2333974"
"blood","GSM2656280"
"blood","GSM2465244"
"blood","GSM2814861"
"blood","GSM3440421"
"blood","GSM2337322"
"blood","GSM2814327"
"blood","GSM2814065"
"blood","GSM2815522"
"blood","GSM2260615"
"blood","GSM2815402"
"blood","GSM2089967"
"blood","GSM2562764"
"blood","GSM2334435"
"blood","GSM2333912"
"blood","GSM2814431"
"blood","GSM2814257"
"blood","GSM2363766"
"blood","GSM1506340"
"blood","GSM2815370"
"blood","GSM3035854"
"blood","GSM2562713"
"blood","GSM2815419"
"blood","GSM3026759"
"blood","GSM2815030"
"blood","GSM1705004"
"blood","GSM2260682"
"blood","GSM2363736"
"blood","GSM2865123"
"blood","GSM2334187"
"blood","GSM2562740"
"blood","GSM2562926"
"blood","GSM2260717"
"blood","GSM2090031"
"blood","GSM3380772"
"blood","GSM2738197"
"blood","GSM3440388"
"blood","GSM2363690"
"blood","GSM2814250"
"blood","GSM2815220"
"blood","GSM2333914"
"blood","GSM3035634"
"blood","GSM2942822"
"blood","GSM2267996"
"blood","GSM2815422"
"blood","GSM2337352"
"blood","GSM1506466"
"blood","GSM2865164"
"blood","GSM2796270"
"blood","GSM2363756"
"blood","GSM2373080"
"blood","GSM2260601"
"blood","GSM2337340"
"blood","GSM2465224"
"blood","GSM2562710"
"blood","GSM3035701"
"blood","GSM2465226"
"blood","GSM1624850"
"blood","GSM2656238"
"blood","GSM3035950"
"blood","GSM2877337"
"blood","GSM2656321"
"blood","GSM2363872"
"blood","GSM2656373"
"blood","GSM2656278"
"blood","GSM2814634"
"blood","GSM2127913"
"blood","GSM2815016"
"blood","GSM2814622"
"blood","GSM2089928"
"blood","GSM2656261"
"blood","GSM2334515"
"blood","GSM2260592"
"blood","GSM2656375"
"blood","GSM2738287"
"blood","GSM3440723"
"blood","GSM2363560"
"blood","GSM3440460"
"blood","GSM2814872"
"blood","GSM3035841"
"blood","GSM3035437"
"blood","GSM2562914"
"blood","GSM2334285"
"blood","GSM3440472"
"blood","GSM3026715"
"blood","GSM3440569"
"blood","GSM3035732"
"blood","GSM2562825"
"blood","GSM1649787"
"blood","GSM2260708"
"blood","GSM2815464"
"blood","GSM2814781"
"blood","GSM2334323"
"blood","GSM2363896"
"blood","GSM2363784"
"blood","GSM2562756"
"blood","GSM2334055"
"blood","GSM2814297"
"blood","GSM2770898"
"blood","GSM1646165"
"blood","GSM3045510"
"blood","GSM3035549"
"blood","GSM2656213"
"blood","GSM2465208"
"blood","GSM2814657"
"blood","GSM2334166"
"blood","GSM2465199"
"blood","GSM3440318"
"blood","GSM2334511"
"blood","GSM3380790"
"blood","GSM2334064"
"blood","GSM2814612"
"blood","GSM2814184"
"blood","GSM2814571"
"blood","GSM2363849"
"blood","GSM2333986"
"blood","GSM1649778"
"blood","GSM2815538"
"blood","GSM2815598"
"blood","GSM2363554"
"blood","GSM3035607"
"blood","GSM3035752"
"blood","GSM2334487"
"blood","GSM3035528"
"blood","GSM2738277"
"blood","GSM2562845"
"blood","GSM2656246"
"blood","GSM2867847"
"blood","GSM1649808"
"blood","GSM2260657"
"blood","GSM3440747"
"blood","GSM2814887"
"blood","GSM3026738"
"blood","GSM2942833"
"blood","GSM3440320"
"blood","GSM2334491"
